plate,slot,part,color,finish_color,dimensions_mm,quantity_on_plate,quantity_in_assembly,suggested_placement,suggested_step,candidate_placements,candidate_steps,all_source_slots
B-cyan-01.3mf,1,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-084,17,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,2,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-089,17,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,3,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-090,18,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,4,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-093,18,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,5,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-096,18,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,6,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-097,19,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,7,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-100,19,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,8,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-103,19,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,9,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-104,20,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,10,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-107,20,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,11,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-110,20,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,12,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-111,21,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,13,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-114,21,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,14,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-117,21,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,15,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-118,22,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,16,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-121,22,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,17,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-124,22,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,18,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-125,23,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,19,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-128,23,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,20,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-131,23,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,21,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-132,24,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,22,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-135,24,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,23,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-138,24,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,24,BR-02x05-H096,cyan,,15.8 x 39.8 x 11.4,24,24,B-139,25,B-084 B-089 B-090 B-093 B-096 B-097 B-100 B-103 B-104 B-107 B-110 B-111 B-114 B-117 B-118 B-121 B-124 B-125 B-128 B-131 B-132 B-135 B-138 B-139,17 18 19 20 21 22 23 24 25,B-cyan-01.3mf#1 B-cyan-01.3mf#2 B-cyan-01.3mf#3 B-cyan-01.3mf#4 B-cyan-01.3mf#5 B-cyan-01.3mf#6 B-cyan-01.3mf#7 B-cyan-01.3mf#8 B-cyan-01.3mf#9 B-cyan-01.3mf#10 B-cyan-01.3mf#11 B-cyan-01.3mf#12 B-cyan-01.3mf#13 B-cyan-01.3mf#14 B-cyan-01.3mf#15 B-cyan-01.3mf#16 B-cyan-01.3mf#17 B-cyan-01.3mf#18 B-cyan-01.3mf#19 B-cyan-01.3mf#20 B-cyan-01.3mf#21 B-cyan-01.3mf#22 B-cyan-01.3mf#23 B-cyan-01.3mf#24
B-cyan-01.3mf,25,BR-04x05-H096,cyan,,31.8 x 39.8 x 11.4,2,12,B-085,17,B-085 B-086 B-087 B-088 B-140 B-141 B-142 B-143 B-144 B-145 B-146 B-147,17 25 26,B-cyan-01.3mf#25 B-cyan-01.3mf#26 B-cyan-02.3mf#1 B-cyan-02.3mf#2 B-cyan-02.3mf#3 B-cyan-02.3mf#4 B-cyan-02.3mf#5 B-cyan-02.3mf#6 B-cyan-02.3mf#7 B-cyan-02.3mf#8 B-cyan-02.3mf#9 B-cyan-02.3mf#10
B-cyan-01.3mf,26,BR-04x05-H096,cyan,,31.8 x 39.8 x 11.4,2,12,B-086,17,B-085 B-086 B-087 B-088 B-140 B-141 B-142 B-143 B-144 B-145 B-146 B-147,17 25 26,B-cyan-01.3mf#25 B-cyan-01.3mf#26 B-cyan-02.3mf#1 B-cyan-02.3mf#2 B-cyan-02.3mf#3 B-cyan-02.3mf#4 B-cyan-02.3mf#5 B-cyan-02.3mf#6 B-cyan-02.3mf#7 B-cyan-02.3mf#8 B-cyan-02.3mf#9 B-cyan-02.3mf#10
B-cyan-02.3mf,1,BR-04x05-H096,cyan,,31.8 x 39.8 x 11.4,10,12,B-087,17,B-085 B-086 B-087 B-088 B-140 B-141 B-142 B-143 B-144 B-145 B-146 B-147,17 25 26,B-cyan-01.3mf#25 B-cyan-01.3mf#26 B-cyan-02.3mf#1 B-cyan-02.3mf#2 B-cyan-02.3mf#3 B-cyan-02.3mf#4 B-cyan-02.3mf#5 B-cyan-02.3mf#6 B-cyan-02.3mf#7 B-cyan-02.3mf#8 B-cyan-02.3mf#9 B-cyan-02.3mf#10
B-cyan-02.3mf,2,BR-04x05-H096,cyan,,31.8 x 39.8 x 11.4,10,12,B-088,17,B-085 B-086 B-087 B-088 B-140 B-141 B-142 B-143 B-144 B-145 B-146 B-147,17 25 26,B-cyan-01.3mf#25 B-cyan-01.3mf#26 B-cyan-02.3mf#1 B-cyan-02.3mf#2 B-cyan-02.3mf#3 B-cyan-02.3mf#4 B-cyan-02.3mf#5 B-cyan-02.3mf#6 B-cyan-02.3mf#7 B-cyan-02.3mf#8 B-cyan-02.3mf#9 B-cyan-02.3mf#10
B-cyan-02.3mf,3,BR-04x05-H096,cyan,,31.8 x 39.8 x 11.4,10,12,B-140,25,B-085 B-086 B-087 B-088 B-140 B-141 B-142 B-143 B-144 B-145 B-146 B-147,17 25 26,B-cyan-01.3mf#25 B-cyan-01.3mf#26 B-cyan-02.3mf#1 B-cyan-02.3mf#2 B-cyan-02.3mf#3 B-cyan-02.3mf#4 B-cyan-02.3mf#5 B-cyan-02.3mf#6 B-cyan-02.3mf#7 B-cyan-02.3mf#8 B-cyan-02.3mf#9 B-cyan-02.3mf#10
B-cyan-02.3mf,4,BR-04x05-H096,cyan,,31.8 x 39.8 x 11.4,10,12,B-141,25,B-085 B-086 B-087 B-088 B-140 B-141 B-142 B-143 B-144 B-145 B-146 B-147,17 25 26,B-cyan-01.3mf#25 B-cyan-01.3mf#26 B-cyan-02.3mf#1 B-cyan-02.3mf#2 B-cyan-02.3mf#3 B-cyan-02.3mf#4 B-cyan-02.3mf#5 B-cyan-02.3mf#6 B-cyan-02.3mf#7 B-cyan-02.3mf#8 B-cyan-02.3mf#9 B-cyan-02.3mf#10
